"","T_sim1","T_sim2","T_sim3","T_sim4","T_sim5","T_sim6","T_sim7","T_sim8","T_sim9","T_sim10","T_sim11","T_sim12","T_sim13","T_sim14","T_sim15","T_sim16","T_sim17","T_sim18","T_sim19","T_sim20","T_sim21","T_sim22","T_sim23","T_sim24","T_sim25","T_sim26","T_sim27","T_sim28","T_sim29","T_sim30","T_sim31","T_sim32","T_sim33","T_sim34","T_sim35","T_sim36","T_sim37","T_sim38","T_sim39","T_sim40","T_sim41","T_sim42","T_sim43","T_sim44","T_sim45","T_sim46","T_sim47","T_sim48","T_sim49","T_sim50","T_sim51","T_sim52","T_sim53","T_sim54","T_sim55","T_sim56","T_sim57","T_sim58","T_sim59","T_sim60","T_sim61","T_sim62","T_sim63","T_sim64","T_sim65","T_sim66","T_sim67","T_sim68","T_sim69","T_sim70","T_sim71","T_sim72","T_sim73","T_sim74","T_sim75","T_sim76","T_sim77","T_sim78","T_sim79","T_sim80","T_sim81","T_sim82","T_sim83","T_sim84","T_sim85","T_sim86","T_sim87","T_sim88","T_sim89","T_sim90","T_sim91","T_sim92","T_sim93","T_sim94","T_sim95","T_sim96","T_sim97","T_sim98","T_sim99","T_sim100","T_sim101","T_sim102","T_sim103","T_sim104"
"apolar_viscek=TRUE,fixed_weight=FALSE,residual_type=Gaussian,cut_r=25",0.00409238208959794,0.00485487652475099,0.00483422073241512,0.00479260443663331,0.00495994429364694,0.00489619444110557,0.00514223988220543,0.00513003401394302,0.00497758108868768,0.0050690732546031,0.0049377638868048,0.00499425126908175,0.00516512059113558,0.00527519377141532,0.00522179430523289,0.00527158391775746,0.00532150810927217,0.00519376738975126,0.00501421354129239,0.00515895236586851,0.00534039554736069,0.00535255515436472,0.00512873970662854,0.00531303208640001,0.00530392639379846,0.00516168568074611,0.00508873855271057,0.00497623233177756,0.0050456568999771,0.00520904035178227,0.00516787983341096,0.00489119500429055,0.00483330441306369,0.00489995805478484,0.00504540336707727,0.00490518698211246,0.0048507357026182,0.00484510766714965,0.00480751335780402,0.00475632537855233,0.00482212613774267,0.00492750974302722,0.00476962745859837,0.00490416145002227,0.00463368420545138,0.0046166459323667,0.00458229178341475,0.00468390575955309,0.00470892678500779,0.00469696992020375,0.0047267199038056,0.00457619413888211,0.00444651842627268,0.004542275416124,0.0045530829097355,0.00445506563502886,0.00427457971884089,0.00436968660371263,0.00431842812246088,0.00436280847584586,0.00444094317438584,0.00437199893793496,0.00429647634771863,0.00426099334780422,0.00444108500702463,0.00430930789533165,0.00433178117002779,0.00417097236621698,0.00422695679703563,0.00421668155713811,0.00407508097289138,0.00397692071633388,0.0038575141651149,0.00392997091249547,0.00397874373598309,0.00400295302628379,0.00404510910801298,0.00389283379879435,0.00388400564236528,0.00386361072452148,0.00382658047735869,0.00391432419067939,0.00389555426610392,0.00385911990382319,0.00385091981606755,0.00377886057669278,0.00368992124077962,0.00372126753183885,0.00381019173881887,0.00376660762955039,0.00367214459308793,0.00364832740841679,0.00376311249840531,0.003611516135164,0.00357575144460825,0.00352689023283884,0.0035082714353076,0.00352855706031301,0.00346639432662571,0.00351430159083354,0.0035568177717816,0.00344924844610018,0.00350659712268306,0.00334000512296223
"apolar_viscek=FALSE,fixed_weight=FALSE,residual_type=Gaussian,cut_r=25",0.00409238208959794,0.00467691565274298,0.00482536001989817,0.0046151576078133,0.00480846466407198,0.00480307979215865,0.00481325303365756,0.0049070137927379,0.00488229756767289,0.00487134193618325,0.00468185899232117,0.00496246353347333,0.00494346461719242,0.00509225080323331,0.00508649791664867,0.00498634284101701,0.00497489652783236,0.00490769882046979,0.00480559829527456,0.00493122132818225,0.00491714244940357,0.00505809690776448,0.00488441096834346,0.00499414132035395,0.00496925020691049,0.00486474571577212,0.00477595080374178,0.0047181929487791,0.00481339123696541,0.0049146263655337,0.00478917235987751,0.00465611254523572,0.00466678001806066,0.00472017637166783,0.004845483315653,0.00473129883393169,0.00465848499675219,0.00448530587826132,0.00452916581874437,0.00442920359605422,0.00452631471951447,0.00450889327111313,0.00443403046816043,0.00452015174838747,0.00427490506305313,0.00439173341006021,0.00434530074882677,0.0044597246947177,0.00427536437426632,0.00438804560943033,0.0043146328053417,0.00421216796996316,0.00403058350465448,0.004160425668151,0.00424702145056052,0.00419606737867698,0.00395476148923182,0.00417047394838846,0.00412241588476994,0.00388300747511519,0.00399695478347786,0.00398281147780662,0.00400656979867021,0.00402729960640825,0.00420678597202885,0.00413532904694035,0.00407361782528098,0.00405294819719892,0.00406232513757063,0.00402780119026895,0.00383223960921181,0.0037603900385055,0.00376382615083881,0.00378711116050544,0.00376563363911456,0.00385033939678598,0.00383003950937587,0.00378231032828517,0.00364286861552564,0.00377761126295909,0.00365921980014324,0.0037554236935315,0.00361867483031173,0.00341504618868467,0.00343075981660372,0.00341927849325484,0.00351627409016837,0.00343222101178588,0.0034858424030226,0.00354693393117803,0.00346729887578048,0.00346378659903228,0.0035109256643362,0.00336488568496551,0.00327688196856182,0.00325193088312483,0.00337081019972528,0.00336942832899136,0.00327047497395024,0.00341444182269598,0.00331631200363926,0.00320334110326198,0.00321297892527196,0.00315413648074819
"apolar_viscek=TRUE,fixed_weight=TRUE,residual_type=Gaussian,cut_r=25",0.00409238208959794,0.0059046327089751,0.0072290723872998,0.00822022121929749,0.00907294084332601,0.00990515793949396,0.0107124459927165,0.0112789253796135,0.0117731254410147,0.0123446496945581,0.012788594452275,0.0130155784762637,0.013571729627249,0.0140116410008993,0.0142877776010586,0.0145294247857247,0.0147602945986263,0.014879458399337,0.0151364888464482,0.0153581853679613,0.0156675172639729,0.0160016506962901,0.0161910028840274,0.0163801452467675,0.0166017527558647,0.0167498632878228,0.0168795711811961,0.0169779180252747,0.0172600998775822,0.0173769368150012,0.0174018470402922,0.0175249918482341,0.0177508517389974,0.0178986785419046,0.0180163532822551,0.0179061793830025,0.0179268219038609,0.017936200875,0.0180104619615751,0.0180592596307725,0.0182235912808275,0.0184223664657745,0.0185200290551092,0.0184490736232116,0.0184579544311878,0.0184383338418853,0.0184678434565493,0.0184513571944333,0.0185666424910588,0.0186027602076588,0.0188183716358702,0.0189570543874806,0.0191195175374291,0.0192088713809279,0.0190593489740684,0.0190376262692975,0.0190669554065154,0.0191293880906318,0.0193549658585685,0.0193891849617469,0.0194650860943686,0.0195131087629725,0.019514945421931,0.0195792654034815,0.0196450536861081,0.019603997652296,0.0196072177154664,0.0196484531924233,0.0197794787718019,0.0198663067575784,0.0197796741929909,0.0195670239249735,0.0195641546259662,0.0197374853731394,0.0196931492852622,0.019620527055729,0.0196319378821776,0.0197032886255578,0.0195213757045828,0.0194694615649272,0.0192953956202305,0.0193512922873871,0.0193305657043969,0.0192367595691477,0.0192666303971164,0.0192594344598407,0.0192632471709776,0.019216916051518,0.0191887249630273,0.0192403490874679,0.0193502199853878,0.0194604752144198,0.0194326835681161,0.019379934706742,0.0194134642777341,0.0194215235777517,0.0194610179462852,0.0193449764439906,0.0194189144326849,0.0193411863450037,0.0193795517343272,0.0193635718102301,0.0192634388015995,0.0192450919595878
"apolar_viscek=FALSE,fixed_weight=TRUE,residual_type=Gaussian,cut_r=25",0.00409238208959794,0.00570726167909851,0.00694361348888292,0.00756485116805883,0.00792469010361528,0.00821980533186874,0.00840997904616646,0.00859080328190623,0.00864852611148661,0.00885337667311422,0.00879914416232087,0.00870787844542407,0.008983910224815,0.00907443153283501,0.00919143881901426,0.00925034437628371,0.0092967539192448,0.00914735041612254,0.00911295197210282,0.0090442265898042,0.00907180719525478,0.0091685402392629,0.00914325546920303,0.00922408656080317,0.00917074088813096,0.0090518176116752,0.00916062270761875,0.0088851900414339,0.00893326145840168,0.00878518388118656,0.00880124133550627,0.00861312492893096,0.00861288209212047,0.00864326728424879,0.00864704475618236,0.00862787687818139,0.00881791685243547,0.00874283980411035,0.00871947333260508,0.00854520598686652,0.00849966138911518,0.00842544192016651,0.00826778549615294,0.00836447088667915,0.00825796101311154,0.0083067271642694,0.00817292243263212,0.00829822329197815,0.00821940014994345,0.00819633841549415,0.00834410880326075,0.00827801695088083,0.00811034399374967,0.008164509663579,0.00818218142065119,0.00819564125091762,0.00805034431471917,0.00806670047764786,0.00809178088807523,0.00798313727387275,0.0079340750907619,0.00800693669369879,0.00792712952285596,0.00771517995961134,0.00776950569897899,0.00760627532228,0.00768205382265115,0.00768396627168721,0.00753240577281279,0.00760753841003894,0.00737516042605249,0.00736538727226711,0.00744622924708396,0.00743191272775741,0.00741646095530096,0.00760241055723827,0.00743417226499876,0.00756848446795848,0.00750565098659267,0.00757634897105183,0.00751681660973993,0.0074571333502969,0.00756348410876986,0.00722368074871367,0.0073260841146978,0.00718587229007013,0.00714663594521612,0.00697737115147022,0.00689347382497177,0.00690703933926703,0.0069073276092514,0.00689380168301129,0.00696264113235501,0.00690431430905088,0.00685985518340417,0.00680632723940582,0.00685777844434698,0.00690667591238103,0.00682234108963681,0.00678779612978193,0.00684094082870766,0.00672048734333253,0.0065450937325663,0.00648788849635267
"apolar_viscek=TRUE,fixed_weight=FALSE,residual_type=Laplace,cut_r=25",0.00409238208959794,0.00468274665342218,0.00482474699055386,0.00483749837039972,0.00487944102059233,0.00487004735513223,0.00496510898217616,0.00510215280281102,0.00522059845446019,0.00525314228566286,0.00488246240400329,0.00526041242883965,0.00516107698027799,0.00530179024799437,0.00537273372788842,0.00516242243004414,0.00542774444498161,0.00535515349153206,0.00517618007818588,0.00526425268983138,0.00533631370979676,0.00543502138852571,0.00527195944151857,0.00518260116888065,0.00530582448391827,0.0052797227715889,0.00531684819040794,0.00528400324208016,0.00531835350651005,0.00521781055836339,0.00496383380950001,0.00486469503135977,0.00495778615235382,0.0049701332191999,0.0050567825150633,0.00507886011518992,0.00477585869269269,0.00474210276932289,0.00476758886555098,0.0047739325215045,0.0049420269874895,0.00484353089426441,0.00479795446558168,0.00481009322946479,0.00462475905629859,0.00460270749633603,0.0045247333398755,0.0046489559040611,0.00461556316590322,0.00463011221838691,0.0045710731035636,0.00450987425515947,0.00447477742441468,0.00446972038612284,0.00443191040222608,0.00436284752452214,0.00435842056946138,0.00447072429997051,0.00434127666751533,0.00427953345859978,0.00425473578119488,0.00420616262228145,0.00424456779514389,0.00434315663468467,0.00441985362274308,0.00433642116170781,0.0043351840231575,0.00425704325970312,0.00434841886097747,0.0042305814731184,0.00399592807803045,0.00393704860718729,0.0038453745436335,0.00383186505352003,0.00387824537533864,0.00393283417557681,0.00390870944815667,0.00392749097604586,0.00387452869594363,0.00374387801114862,0.00373234414289286,0.00379049050621824,0.00391837850584397,0.00380056980353661,0.00373879521680382,0.00358558166003763,0.00357044653348426,0.00362741486287768,0.00362376960013343,0.00352872102107719,0.0034983481945312,0.0035553714688301,0.00359032595945307,0.00353394353970257,0.00345840137002791,0.0034183299689196,0.00340011546327369,0.00344466493291381,0.00343392692065789,0.00348123612182446,0.00344626931603084,0.00338924467835704,0.00339443108302451,0.00332044809613021
"apolar_viscek=FALSE,fixed_weight=FALSE,residual_type=Laplace,cut_r=25",0.00409238208959794,0.00456561776873462,0.00475718830281102,0.00458105383095029,0.00459238215148542,0.00460134497815927,0.00480003219508899,0.00479790535489343,0.00463274589930243,0.00474477464280248,0.00466420289863412,0.00484805174400763,0.00486288387627305,0.00504572863720249,0.00510825247231541,0.0048071456436474,0.00491888322089458,0.00492638934125418,0.00467895826730424,0.0047908411699957,0.00482304205196527,0.00505823295578712,0.00490456121422829,0.00483588750949657,0.00496357348937596,0.00495362135667883,0.00490717260351732,0.00477946637616965,0.00478176104172899,0.00469496957963943,0.00465997438042709,0.00463353059951467,0.00465627864431192,0.00449524925995372,0.00469210141601994,0.00455276581470723,0.00435080699840251,0.00452199567108263,0.00453013054413359,0.00433554979730316,0.00447077583877507,0.00445212636228013,0.00438286938561199,0.00452636112724365,0.00423723164117003,0.00431972085866272,0.00423660831901906,0.00431709049972803,0.00439452472147365,0.00426276334377505,0.00427579321492308,0.00421686445932293,0.00409769781091915,0.00418331337673799,0.00426012965384638,0.0042156580283799,0.00401500619730774,0.00404938664759627,0.00376947092208642,0.00385609918548779,0.00398798564245331,0.00394887897307575,0.00391778114190375,0.00388982087660386,0.00402840442296592,0.00391194288945739,0.00389767776949109,0.0039266829521875,0.0037809918146076,0.00376604079933761,0.00366187410144252,0.00354304582273439,0.00346338973908122,0.00344767175001,0.00354188708136178,0.00359559441809415,0.00355767180625046,0.00355663945698111,0.00340873522220094,0.00338290000605099,0.00345762134555487,0.00342184933684571,0.00351163008073358,0.00341718641525858,0.00347965526980832,0.00335761512489496,0.00331101676045572,0.00339685289875584,0.00345087272439172,0.00325727342519696,0.00325179940089771,0.00327912994066194,0.00323280552194872,0.00315966516293455,0.0031015224406083,0.00302308325619744,0.00308532378153617,0.00307695695844291,0.00304413611446249,0.00317363231051991,0.00315941017272243,0.00311126772841705,0.00301509051281246,0.00303278863978404
"apolar_viscek=TRUE,fixed_weight=TRUE,residual_type=Laplace,cut_r=25",0.00409238208959794,0.00576141729524294,0.00709133394970813,0.0081907423400098,0.00907985108731118,0.00974720406087726,0.0103764410427613,0.0110263156831086,0.0117975345178511,0.0123935668134961,0.0128942506230643,0.0133498763741176,0.0136853380752177,0.014120484537444,0.0147360744535782,0.0149186427122941,0.0152272865898998,0.0155371830801073,0.0157657741085661,0.0159351950535096,0.0163158821758481,0.0166118383677198,0.0168403591282768,0.0171475109588027,0.0173962662453551,0.0175631712037914,0.0179140773304223,0.0182241591218194,0.0183708078848622,0.0184504406403897,0.0184432220179411,0.018555856677764,0.0186030147926943,0.0187927677096623,0.0189470675105844,0.0191318543250339,0.0191851396198991,0.0192772570209007,0.0194144930927781,0.0194925289650548,0.0195082331079819,0.019491041079875,0.0193942851141702,0.0193449634594056,0.0192523786393979,0.0194382069097093,0.0194031262367113,0.0194740764398659,0.0193938101782059,0.0193438909339316,0.0193892601579707,0.0193605008130486,0.0194823413593404,0.0193891578538161,0.0195842152021739,0.0194089377192755,0.0193479330556487,0.0193866748403403,0.0194443339903435,0.0194908747132571,0.0195373881479538,0.0194899061620925,0.01948911336783,0.0193307742563907,0.0192483853535477,0.0192737395208822,0.0192668032883939,0.0194338489707595,0.0195159486704616,0.0196983762487204,0.0197430858265173,0.0196874250044355,0.0197438071712601,0.0198300336651435,0.0198961965665292,0.0198937832534374,0.0200780806416617,0.0200485924618825,0.0201330209570366,0.0201711026518955,0.020272865357694,0.0203483141476517,0.0202877542043676,0.0202945725025571,0.0203949146665467,0.0203535856012109,0.0203981432430427,0.0204073431843077,0.0204081307078054,0.0204383851424208,0.0203984784341178,0.0204523215773156,0.0204488327923122,0.0204785048386849,0.0205113648921689,0.0205706041477098,0.020525205915324,0.0205961026240284,0.0206698015287289,0.0207729866272628,0.0206956781001028,0.0207094429656345,0.0208124232122142,0.0207162072927213
"apolar_viscek=FALSE,fixed_weight=TRUE,residual_type=Laplace,cut_r=25",0.00409238208959794,0.00569995813966051,0.00677648199890242,0.00734978881446726,0.00780421791195856,0.00817017270492556,0.00839611449390113,0.00874735455212841,0.0089404900576385,0.00924356522706286,0.00915550469518257,0.00908650822433731,0.00918550427221809,0.0092034754382008,0.00930940171873144,0.00917227752090907,0.00950738581341321,0.00939387926876681,0.00936548345274854,0.00921034306893958,0.00943900699121126,0.00966073155362755,0.00961450339781286,0.00958475950202332,0.00971840404389352,0.00933915073066573,0.00917072808631898,0.00899005210960193,0.00913194013781245,0.0089170129577736,0.00882815178667168,0.00888460517821753,0.00885940439300736,0.00874988500486141,0.00891579669886871,0.00896183991920546,0.0087353489118367,0.00851137569875841,0.00843110512752379,0.00833204614492943,0.00830134498352354,0.00824785704942998,0.00823671860830976,0.00810364437241265,0.00810227435374453,0.0080095820369595,0.00794137447993736,0.00795892018914593,0.00781095314182117,0.00791666605576928,0.00797488766338671,0.00777400397926837,0.00771299344465924,0.00769700110878154,0.00767083436735106,0.00768659075397465,0.00772889714460133,0.00767792814765235,0.00772230811283196,0.00780118771122124,0.00765445694298187,0.00773202558734301,0.00783932095899589,0.0076622220909892,0.0076411132716938,0.00769324857114131,0.00772639700369514,0.00765600347194248,0.00759974853002542,0.00774388925054498,0.0076812220564553,0.00758226777637977,0.00762320315156084,0.00741545778442403,0.00735379487835051,0.00730433588617643,0.00721843496451886,0.00730175427716152,0.00728874732674328,0.00724830042214073,0.00727420901629331,0.0072268907471108,0.00716536778075369,0.00718297111975868,0.00709805521787989,0.00688780393121092,0.00681770858710464,0.00680311161288659,0.00656836662442463,0.00657995437020576,0.0065939208951166,0.00660348629465631,0.00675688326610371,0.00661764877230631,0.00654704289982353,0.0065025083967097,0.00664430874813186,0.0065775974194368,0.0065442746292423,0.00650246986738884,0.00664541250280585,0.00664512101511209,0.00664924341449661,0.00670492096807307
"apolar_viscek=TRUE,fixed_weight=FALSE,residual_type=GGD,cut_r=25",0.00409238208959794,0.00459149502766067,0.00465680376313939,0.00476644976170263,0.00469835203923788,0.00479922360393547,0.00490377389731248,0.00507717505012565,0.00492802451256703,0.00512147053394033,0.00491424255631526,0.00501542019372749,0.00511860282843144,0.00532532599282933,0.00522845525320093,0.00516748780216212,0.00531603638579767,0.00512611055803089,0.00494380398642106,0.00504473502159946,0.00517080251561844,0.00541268140011362,0.00522677411999555,0.00518526363163112,0.00526945691729112,0.0051460296765617,0.00510995633599386,0.00495083932532955,0.0050698724388232,0.00520423316022805,0.00487584292997561,0.0048715325146608,0.00482758203452963,0.00495748248701383,0.00498997284975498,0.00484138275627168,0.00487590202487378,0.00499627539919613,0.00486289258299337,0.00461719421082098,0.00483182775650918,0.00484736548131207,0.004893464929749,0.00489070644534141,0.00463810066671154,0.00471317490716054,0.00461472162003253,0.00471004965118602,0.00467195684390667,0.00466753265366867,0.0044652970976117,0.00438866630731997,0.00450984593825118,0.00447300333542225,0.00451493083507797,0.00437513650992981,0.0042654702543837,0.00428515209592106,0.00428665094934648,0.00423009764297843,0.00440049976973504,0.00423034538669011,0.00418586858942854,0.00419510229655234,0.00434455485408358,0.00426651378219767,0.00421768740594742,0.00419022594606863,0.00427197619190607,0.00420440478501785,0.0040760310314934,0.00401724068255006,0.00400088483408883,0.00384086014961802,0.00392142069942216,0.00396805626938351,0.00407950225858036,0.00395162020485323,0.00381853156422831,0.00388368822289369,0.00377649475228949,0.00394939239194972,0.00379032674876717,0.00369765485566261,0.00368806177703397,0.00363457804689154,0.00353665559310678,0.00350120007626256,0.00359599481882307,0.00352975526527327,0.00361118455290962,0.00361509860463442,0.0036842619429657,0.00356287036435011,0.00349688542019497,0.00338597987940305,0.00344820010174753,0.00344427204446406,0.00332858892939763,0.00346438409335618,0.00339064096317369,0.00336947091931002,0.00340319697558677,0.00328578573100279
"apolar_viscek=FALSE,fixed_weight=FALSE,residual_type=GGD,cut_r=25",0.00409238208959794,0.00457068756236291,0.00470877709376611,0.00459018529535675,0.00478334741654283,0.00484568852204333,0.00478749472041623,0.00460201255428151,0.00471057342033141,0.00481918731857367,0.0045608118859199,0.00481269666333782,0.00481890963619877,0.0048354793799994,0.00496379151386894,0.00495932679883109,0.0048943130608336,0.00491389533989761,0.0046896264830632,0.00490470448346958,0.004917348174016,0.00515100534888048,0.00494299554023629,0.00482055049089971,0.00486293825233023,0.00480361616466702,0.00488175403326822,0.00476609790361511,0.00479166963468564,0.00479553299597754,0.00464334509648484,0.00446146579249271,0.00463836331725531,0.00468526686495241,0.00460997125805187,0.00462752106137746,0.00440641704779587,0.00442430861386275,0.00449714061338658,0.00450824077755439,0.0045421839753305,0.00448180482690205,0.00443793258781749,0.00443855130901217,0.00420568101692589,0.00427025803503131,0.00417033269089679,0.00435118065957653,0.00426310388237755,0.00433330316676945,0.00420975715946628,0.00426710838009638,0.00412027350260435,0.00408981041175142,0.00405360466300115,0.00402363392756216,0.00395404685029271,0.0040950863600815,0.00397960874517882,0.00394688609351029,0.00391840202411152,0.00386322465965727,0.00387046304865296,0.00403354351338346,0.00413957495691506,0.00387359316401559,0.00385958768733,0.00377257835435785,0.00384560716676661,0.00387456922623637,0.0036346972785737,0.00359806172528058,0.00354913163410086,0.00347991625746749,0.00349960076166927,0.0035393509227629,0.00366200180101942,0.00359016594538829,0.00333814535652098,0.00342737930805283,0.00347687681294284,0.00344120757794579,0.00346025703631398,0.00337786272962907,0.00334934100484449,0.00333099887172587,0.00333597491858752,0.00335735831191424,0.00330251226096554,0.00333463248291953,0.00330537071236108,0.00335337658860447,0.00325545687706426,0.00321247694651589,0.00311078615296717,0.00311572060247104,0.00311397435219174,0.00308935369228342,0.00302581215653978,0.00315874014631501,0.00314639060181038,0.00312209899269407,0.00310914381662793,0.00303261736449391
