"","T_sim1","T_sim2","T_sim3","T_sim4","T_sim5","T_sim6","T_sim7","T_sim8","T_sim9","T_sim10","T_sim11","T_sim12","T_sim13","T_sim14","T_sim15","T_sim16","T_sim17","T_sim18","T_sim19","T_sim20","T_sim21","T_sim22","T_sim23","T_sim24","T_sim25","T_sim26","T_sim27","T_sim28","T_sim29","T_sim30","T_sim31","T_sim32","T_sim33","T_sim34","T_sim35","T_sim36","T_sim37","T_sim38","T_sim39","T_sim40","T_sim41","T_sim42","T_sim43","T_sim44","T_sim45","T_sim46","T_sim47","T_sim48","T_sim49","T_sim50","T_sim51","T_sim52","T_sim53","T_sim54","T_sim55","T_sim56","T_sim57","T_sim58","T_sim59","T_sim60","T_sim61","T_sim62","T_sim63","T_sim64","T_sim65","T_sim66","T_sim67","T_sim68","T_sim69","T_sim70","T_sim71","T_sim72","T_sim73","T_sim74","T_sim75","T_sim76","T_sim77","T_sim78","T_sim79","T_sim80","T_sim81","T_sim82","T_sim83","T_sim84","T_sim85","T_sim86","T_sim87","T_sim88","T_sim89","T_sim90","T_sim91","T_sim92","T_sim93","T_sim94","T_sim95","T_sim96","T_sim97","T_sim98","T_sim99","T_sim100","T_sim101","T_sim102","T_sim103","T_sim104"
"apolar_viscek=TRUE,fixed_weight=FALSE,residual_type=Gaussian,cut_r=25",0.00276582599158149,0.00330080915166235,0.00336240750059658,0.00329025697882222,0.00342717097915346,0.00329398076523666,0.00346027069054365,0.00346147132813603,0.00354465252652041,0.0033970621370712,0.00341194785813273,0.00342821487064556,0.00349058724811625,0.00346339889357342,0.00345613311697259,0.00356455991142215,0.00359810822532555,0.00352213994404072,0.00359032046797666,0.00357489362045504,0.00337645192468782,0.00342293500605624,0.00337842318330448,0.00342435848415582,0.00342219013090282,0.00339664413792848,0.00331290816309655,0.00341370139252541,0.00329020250822244,0.00325438256267723,0.00313608696886203,0.00315821598201742,0.00305987709504571,0.00308982902636167,0.00295309256130895,0.00303341428219712,0.00305441974322725,0.00302844174038387,0.00288895867598365,0.00283830968632546,0.00281404946643438,0.00283244065048612,0.0026881231966486,0.0028617651023847,0.0027052018194533,0.00273247029822642,0.00267760403069986,0.00282804945947475,0.00275372123894706,0.00276413635657755,0.00270018433741098,0.00261608627195399,0.00260789485774563,0.00259419667388777,0.0026260549940127,0.00267733810693937,0.00260183243418196,0.00268768847709896,0.00259198683481588,0.00248685240465063,0.00250086477208737,0.00252551927386075,0.00246774934695134,0.00237173537121946,0.00252238586532508,0.00237636252296914,0.0024166965355504,0.0024001646982212,0.00247307596614554,0.00246718224624549,0.00236881748344,0.00240914750756145,0.00228925750803514,0.00217567070132547,0.00226217928271089,0.00225307762314771,0.00221531932803836,0.00221072806156156,0.00223931555233442,0.00220889385393988,0.00220069330324557,0.00228426555830551,0.00225694792783667,0.00217053588080705,0.00214557858843781,0.00205819964355023,0.00203412066500536,0.00201935824318829,0.00199685655707756,0.00199662486462644,0.00192634095061191,0.00198942600442977,0.00198042683390181,0.00181728884332014,0.00188761925850995,0.00181761208926425,0.0019023310276111,0.00183558897554989,0.00172633970327111,0.00177886993997405,0.00179757502864708,0.00172650549966003,0.00180654910155553,0.00170731549731208
"apolar_viscek=FALSE,fixed_weight=FALSE,residual_type=Gaussian,cut_r=25",0.00276582599158149,0.00325130630176468,0.00337503317916229,0.00347703662725479,0.00342369549163087,0.00340294380890073,0.00338916716659016,0.00339413848536806,0.00340988121205409,0.00326193573381422,0.00322921882818128,0.0034051839099521,0.00344372261313726,0.00350594321813959,0.00335125761315603,0.00349257307852842,0.00342993033957664,0.00340539777237065,0.00338473659641002,0.00338234874226195,0.0032841732362365,0.00327898072801075,0.00318888337574242,0.00334158633973114,0.0034007839118297,0.0032516218191766,0.00310843211737537,0.00331625626746203,0.00317766899970007,0.00313465651885703,0.00311019542605677,0.00302295632202633,0.00296252717284583,0.00300619557381358,0.00297528876946303,0.00286025723204731,0.00291326751165741,0.00285492291771256,0.00278633087174827,0.00280250277690259,0.00277414263759988,0.00273222817773754,0.00266355372989307,0.00278630832953759,0.0026799527451128,0.00271047950087881,0.00258180360179541,0.00274067841010015,0.00265325564452595,0.0026398609585445,0.00258489063460115,0.00260333956827177,0.00255285918957834,0.00247892424490585,0.00261708411049693,0.00262313308730072,0.00249288107640439,0.00262937288904475,0.00250944653886813,0.00233711013075319,0.00234112437947934,0.00230130909340835,0.00233707369407759,0.00233937341313012,0.00243280296738789,0.00240888604637031,0.00240087584106429,0.00235198476228779,0.00239577954745533,0.00237951013232088,0.00228745175410792,0.00234287178084876,0.00221342256139493,0.0020648094116743,0.00220902433695975,0.00223462061084162,0.00207577593629847,0.00207612066882664,0.0021255081004062,0.00212789263105651,0.00217395728174145,0.00223091005298769,0.00215160668033722,0.00208530244991798,0.00204415559361866,0.00194125857546417,0.0019053581974996,0.00193039171686255,0.00188101042402193,0.00194679128982087,0.00186327633890709,0.00195050777415324,0.00191591552766095,0.00180891532170447,0.00181957156994829,0.00178643357631827,0.00177625025288248,0.00178797008274733,0.00167695606654539,0.00176946358891209,0.00174614714986839,0.00167174133815965,0.00175994875990311,0.0016529653809103
"apolar_viscek=TRUE,fixed_weight=TRUE,residual_type=Gaussian,cut_r=25",0.00276582599158149,0.00422716523773915,0.00516750871404402,0.0060437906284268,0.00683534837108934,0.00736407458770965,0.00782510456272426,0.00823538818151735,0.00870309617458912,0.00906873193071196,0.00935205366255838,0.00942774643341723,0.0097885650896258,0.0101665034829485,0.0102434836499642,0.0104039650460377,0.0105102816659646,0.0105576222843592,0.0107211649810448,0.0107990599978937,0.0109789878591354,0.0110993681630077,0.0112263346907485,0.0114096599468258,0.0114962845401018,0.011483025928516,0.0113848049191221,0.0113837885006502,0.0113241186376553,0.0113530163815853,0.0113764165723765,0.0114728242435392,0.0112863110300529,0.0111842599467634,0.0110518094689627,0.0109789855401003,0.0108860806862337,0.0108131477690098,0.0107736502365454,0.0106778676287935,0.0105615610656623,0.0104652254404496,0.0104547432787687,0.0103520120291775,0.0105094202670602,0.0103675476294417,0.0102215525818563,0.00999180845264764,0.00988336568939449,0.00966599920753751,0.00959237189643882,0.00954344155918941,0.00944831525477822,0.00946241801584099,0.00936075055853935,0.00935696537705437,0.00913395327686522,0.00920451200421118,0.00909115737384804,0.00908551995587987,0.00900874198920201,0.00894681330349403,0.00894661339446049,0.00890535269212401,0.00888309996124076,0.00874552183017442,0.00876715471493333,0.00866356379727977,0.00858828494067129,0.00857105505885298,0.00846447233861586,0.00842594196565798,0.00834024204427802,0.00819687866062337,0.00806078442972937,0.00802134595322201,0.00791709329390664,0.00789995980636875,0.0077266883851236,0.00780688257585507,0.007769714207403,0.00778985563493055,0.00774003873830472,0.00771488457255411,0.00760433624116511,0.00760067215655342,0.0075539206997986,0.00759151447040234,0.0075495688157363,0.00748170749733503,0.0074027309925344,0.00733448997829498,0.00712431805568814,0.00708707937510705,0.00701298070101189,0.00702661437168705,0.00697619104295393,0.00695942575814182,0.00685644129197476,0.00678633825628717,0.00684527482662912,0.00678970926324328,0.0066994031262545,0.00658591900958865
"apolar_viscek=FALSE,fixed_weight=TRUE,residual_type=Gaussian,cut_r=25",0.00276582599158149,0.00405644622168182,0.00504307023775197,0.00561913953152237,0.00606412045197231,0.00642135329718978,0.00662569592825009,0.00672940014403951,0.00680003909457614,0.00685070936939128,0.00687672676478531,0.00700636198314191,0.00693571925081468,0.00706453311762533,0.00698781339552781,0.00716568339986139,0.00738239448106617,0.00732040023714553,0.00721067799177426,0.00719003888366286,0.00731271913559536,0.00726875091007615,0.00713987286982274,0.0073129580797591,0.00726842198366385,0.0071066676341287,0.00700689808023709,0.00683230144878787,0.00665999244638602,0.00661120000206883,0.00665814376342822,0.00654731085890775,0.00660664624970502,0.00661549005058013,0.00655365088746087,0.00662742363463271,0.00646767652363775,0.00630275210985349,0.006278249612341,0.00623015787256953,0.00613260755627247,0.00600939877317879,0.00593169577725382,0.00588028733270293,0.00573620897548476,0.00571449977594375,0.00566690967575884,0.00575290040451994,0.00561454329029303,0.00567194240821605,0.00560094899633644,0.0054978732586287,0.00556866257570294,0.00559186217824455,0.00563929916875974,0.0057269482217652,0.00557086174320006,0.00564357657683511,0.00567856031971943,0.00566682732226312,0.00558247072742132,0.0055695290138092,0.00559835768021664,0.00561591217530883,0.00543630954179908,0.0055243469032288,0.00551248542746949,0.00558285302782577,0.00554994990620724,0.00547301938542742,0.00541220581958356,0.00535022221514915,0.00536567904154089,0.00528257359285025,0.00528272676671492,0.00527703684689661,0.00520863048767376,0.00515382025983798,0.00510963200804454,0.0050780794698623,0.00514592193694576,0.00513985513814797,0.00505161182719541,0.0050173648269441,0.0049780410168351,0.00501434140621767,0.0051027435144392,0.00503782129331719,0.0049461861841639,0.00485666443293193,0.00479307111256214,0.00475161397716526,0.00471660962189809,0.00466400817191987,0.00458848630609352,0.00460857077748783,0.00460993165998152,0.00458160979097352,0.00460264921096412,0.00455987903356148,0.00460632353824807,0.00456450773986862,0.00450129327421694,0.00434060840370387
"apolar_viscek=TRUE,fixed_weight=FALSE,residual_type=Laplace,cut_r=25",0.00276582599158149,0.00297996750663148,0.00312867152568257,0.00317380809828581,0.00320401601432882,0.00315783118151941,0.00328980035342613,0.00332659692217106,0.00328811215608935,0.0030855411045252,0.00305302446279801,0.00332319145186448,0.00337627851957489,0.00329299671868878,0.00322874668746183,0.00333044119618345,0.00323012805768311,0.00313887506469811,0.00317050358422681,0.0032410867116874,0.00323122584657529,0.00304909589699326,0.0031198189064095,0.003089033701422,0.00320211140909974,0.0030834771042015,0.00300518120347223,0.0030981347476391,0.00298841682817326,0.00302404224761134,0.0028699292016833,0.00277831283741047,0.00271236063282591,0.00277529591529635,0.00273388657021223,0.00274021301583236,0.0028424135943377,0.0027075294918743,0.00264255449185205,0.0026087127860488,0.00262998867504111,0.00253320250043591,0.00249534687149701,0.0025332581866459,0.0024753996850082,0.00247169827717153,0.00240645655067898,0.00250508664133402,0.00241798853870234,0.00244701520151978,0.0024025627574257,0.00236201702006244,0.00234451708208443,0.00237498806346625,0.00245680546699862,0.00236760697754481,0.00232039526471784,0.00236056102371485,0.00228197429395125,0.00218994467872173,0.00212591629662138,0.00217212286998862,0.00224095759498009,0.00223350806622872,0.00220465922319301,0.00214222096272654,0.0022013444021715,0.00220459916365837,0.00224505804916032,0.00219765295695516,0.00212541148377735,0.00215141332888623,0.00208481314663559,0.00202592308691696,0.0019309266820276,0.00199683818770534,0.00197311748135694,0.00199313150437013,0.00200676268174972,0.00202125800031643,0.00196780697477839,0.00202064409270767,0.00195335537457415,0.00192908745395953,0.00185406918047312,0.00182585990342605,0.00180807453402071,0.00174329529174735,0.00171094920909405,0.00183335340108433,0.00179286593901086,0.00176859820203685,0.00181534947615814,0.00176683405688849,0.00174264176192294,0.00163171319506002,0.00166179801215504,0.00164181956768664,0.00150944731332826,0.00160439673449573,0.00162142340272769,0.00155683720360782,0.00161081882220784,0.00157626894803542
"apolar_viscek=FALSE,fixed_weight=FALSE,residual_type=Laplace,cut_r=25",0.00276582599158149,0.00304944574962529,0.00314610278482172,0.00309840497935634,0.00304495988150241,0.00313967515476583,0.00316596718313259,0.00314690688577023,0.00315555691979199,0.00293609061626591,0.0030031533010438,0.00309070076746692,0.00306826838928982,0.00319571816618072,0.00317138897205556,0.00318394034571331,0.0030979616029719,0.00304801238958512,0.00309029139513021,0.00309552281582492,0.00300673175326947,0.00293037684268741,0.00295644829072296,0.00294937925709968,0.00309946286800611,0.00302278391455833,0.00288397649213323,0.00297249332750309,0.00295637153263919,0.00291002270637592,0.00278356051344026,0.00266379623069177,0.00269288804641585,0.00271351314568664,0.00266039809205015,0.00268202479762482,0.00266977198152821,0.00260383990242485,0.00255323935829046,0.00260188643989711,0.00248988589807514,0.00251288255027986,0.00233630398699786,0.00252645158104522,0.00238143854155833,0.00238624394247481,0.00229750383447088,0.00248376152013345,0.00242968735578825,0.00242258123868195,0.00231245391726975,0.00223206739976879,0.00225367983799772,0.0022640333390331,0.00225388146328386,0.00228394645747276,0.00219377107138677,0.00225107018827236,0.00222729439674836,0.00213728670417387,0.00211232072065116,0.00205068373118104,0.00211754840007885,0.00204769133620325,0.00213094725380961,0.0020263716520856,0.00210739892607698,0.00207297888364528,0.00209695650282887,0.00213214061594187,0.00203061079376263,0.00201918244170329,0.00195037414393322,0.001875611276943,0.00185604747788969,0.00190146325742911,0.00184137658462141,0.00186607636509747,0.00196087579406102,0.00183976816635664,0.00186025871199002,0.0018543887064065,0.00185852125610721,0.00177656331176764,0.00172191827887027,0.00171614392029598,0.00166117498998653,0.0016759748095892,0.00169235897622794,0.00174312002240996,0.00169793523808325,0.00167725250340893,0.00168701405473701,0.00168053425145684,0.00162995525065672,0.00157506311240467,0.00159185715410034,0.00155485555942363,0.00146512154750615,0.00150694794075312,0.00154115019000456,0.00145828751718712,0.00150229069900233,0.00149429372621086
"apolar_viscek=TRUE,fixed_weight=TRUE,residual_type=Laplace,cut_r=25",0.00276582599158149,0.00411518507511113,0.00504458483828918,0.00588417100584308,0.00640025923606143,0.00679691887362784,0.00730734135241499,0.00763421701297914,0.00807621034666041,0.00847626809217073,0.00866414692835659,0.00885795078699303,0.00918162262148443,0.00942158226727478,0.00963372910198376,0.0096802203338381,0.00974412547107488,0.00960781788008898,0.00973380653484114,0.00987709166614813,0.0100972655655173,0.0101111978003207,0.0101621554659416,0.0103442091419161,0.0103936118542574,0.0104266796822447,0.0104606608591748,0.0104356073360454,0.0102626031286411,0.010201070769497,0.0101686204696714,0.0100646513384108,0.0100830999910095,0.00999391774660052,0.00997128580780508,0.0099506748862928,0.00983609009370529,0.00978968098033753,0.00973101007952906,0.00971842920299226,0.00968099352226898,0.00962836888325527,0.00953758220545227,0.00944740012651434,0.00932930981619412,0.00930541197496552,0.00912736121521546,0.00901347639965983,0.00890860806577678,0.00874128506962622,0.00870549577789166,0.00851538133257171,0.00849060950773078,0.00844517503751682,0.00844760187015645,0.00834872709459493,0.00837324287047013,0.0083105753310053,0.00819425536891174,0.00804160345349462,0.00801710626582757,0.00798582251971027,0.00793624795785019,0.00792061643923856,0.00790868653331355,0.00786471297756257,0.00782826351507272,0.00788733152948559,0.0079206535614714,0.00784661438146658,0.00776687613020489,0.00780082400123786,0.00778492899163765,0.0077717608890603,0.00763157849199316,0.00753452401801473,0.00743591765826909,0.00730483182916992,0.00727777042487272,0.00716370684194533,0.00710910680926729,0.00713467222546332,0.00700629484478153,0.00695250032833053,0.00686018690759603,0.00690303994253412,0.00688982963691079,0.00685602594435289,0.00672127037944915,0.00666656007962546,0.00667306532788376,0.00661415398645221,0.00656873138802914,0.00652590481522089,0.00646186457238544,0.00638922734573058,0.00634293993117862,0.00622321099522262,0.00609830055165092,0.00606227429882499,0.00598797128960768,0.00580244575945531,0.00575578086103727,0.00579886411094823
"apolar_viscek=FALSE,fixed_weight=TRUE,residual_type=Laplace,cut_r=25",0.00276582599158149,0.00398398118425442,0.00479008268289757,0.00546340673838424,0.00582175038385038,0.00606186674593225,0.00622357357585955,0.00637970845657502,0.00666347366143189,0.00665713571823189,0.00674387335934865,0.00686718832966564,0.0069480326112817,0.00688115309314103,0.00697464071300558,0.00688768104837721,0.00693815871221197,0.00695699898879375,0.00692862457498736,0.0067786851575994,0.00682928444350365,0.00684060562872914,0.00672015144917568,0.00676373543643067,0.00681371850407656,0.00677183799855797,0.00675309347433036,0.00671037966818951,0.00674646412784409,0.00655797421881294,0.00647477295360636,0.00633247461221871,0.00632058188744641,0.00614972949733391,0.00617177324492837,0.00612865081450661,0.00615906671656256,0.00600402192006784,0.00587305023966776,0.0058838878451609,0.00576844895036955,0.00588063130613394,0.00581997352418815,0.00575530477596359,0.00563117282649473,0.00545124069833575,0.00539268733560584,0.00544573104772714,0.00546355895128301,0.00540023576244348,0.00541450989093484,0.00519453886396929,0.00513998312101151,0.00511226477034326,0.00493162618234083,0.00494958035086588,0.00492737834351303,0.00481544848843245,0.00464631478343851,0.00463939574129888,0.00465821770738283,0.00464002806060471,0.00465194355827735,0.00465394695563673,0.00465386946799487,0.00468258268229752,0.00465862508190474,0.00467451163138506,0.00460597654298735,0.00463267869598057,0.00454681697204821,0.00451659211703251,0.00458721418348283,0.00451754919443458,0.00442940436799993,0.00436309430696155,0.0043806354767587,0.00438816715446755,0.00433997856083312,0.0043903814604306,0.00437738785802293,0.00436723988661813,0.00439087053654897,0.00438366762149392,0.00439161434826782,0.00435552271689408,0.00429499035895863,0.0042857021329403,0.0042901927206327,0.00424130696036734,0.00430582487769857,0.00435549826267801,0.00430246038851808,0.00423993931849338,0.00417572459853441,0.00421850677189789,0.00418224153756942,0.00411465158245066,0.00401407776055995,0.0040282965803397,0.00406065293753194,0.00403560239207504,0.00406419254256865,0.00407365936166945
"apolar_viscek=TRUE,fixed_weight=FALSE,residual_type=GGD,cut_r=25",0.00276582599158149,0.00304397011909771,0.00324045877399145,0.00313059632723191,0.0031603258113052,0.00313289103489915,0.0032664051532804,0.00321100235931587,0.003404077254084,0.00306052401574851,0.00316034269810237,0.0032640047113821,0.00330646015661544,0.00324087307434728,0.00338003868187569,0.00332046031665111,0.00328319858924978,0.00317286152111849,0.00317351612314054,0.00324103834194125,0.0032076815535614,0.00307153988037192,0.00308828641438586,0.00319545554843167,0.00340979516195361,0.00315629299015645,0.00301456229075774,0.00310890800190807,0.00307394486302664,0.00300988316825676,0.00288226855147845,0.00279012585681977,0.00281442010406699,0.00290151358850417,0.0027777328729086,0.00272098142212105,0.00284615604357489,0.00270779084931572,0.00272164707832677,0.00264328241360525,0.00265726728910847,0.00260355590175374,0.00254495397030335,0.00262237673489188,0.00253431299771965,0.0026244241489676,0.00253884232551072,0.00251654062327148,0.00246389019578316,0.00245546306412756,0.00248915378061721,0.00237940326737155,0.00233781480593303,0.002455155032725,0.00240596575724362,0.0023778769482918,0.00235432933349038,0.00248274751677073,0.00238964642756554,0.00232445562860938,0.00226321886692761,0.00221304389755832,0.00221262229099357,0.00216748350380127,0.00215679791473409,0.00219320906279853,0.00224978362100364,0.00225724903562139,0.00236864211602193,0.00233387916600552,0.00219907300649965,0.00222545615222543,0.00210759646982604,0.00207643207225448,0.00203641563427362,0.00209944852494947,0.00205141159350848,0.00203133014027017,0.00199498839318833,0.00194992684322572,0.00199764372448145,0.00197791036536687,0.00198901428487433,0.00195776324686317,0.0018727685668063,0.0018226780266262,0.00174970979290024,0.00173145092156488,0.00176192140765977,0.00180334859142568,0.00177944791810506,0.00175440521608325,0.00177484508676488,0.00171967676039673,0.00170371947715297,0.00164665703029649,0.00171951759158064,0.00170097073875891,0.00164375446364422,0.00165998813723311,0.00161433321500202,0.00159366199155982,0.00157853497233466,0.00155086626499847
"apolar_viscek=FALSE,fixed_weight=FALSE,residual_type=GGD,cut_r=25",0.00276582599158149,0.00304469268897141,0.00316669028264264,0.0030408855327669,0.00296473516435954,0.0030250443437084,0.00322324770782748,0.00307491752301634,0.00316062219919921,0.00299722095171436,0.00305081962676055,0.00310883026095283,0.00319204257902417,0.00316923089089539,0.00318230862796643,0.00319445234247399,0.00325035979358665,0.00307993147595661,0.00313392210801797,0.00323132300874516,0.00301782850809858,0.00290029316598398,0.00292558026267656,0.00294812683099822,0.00308589870597815,0.00305297938169642,0.00285559025515873,0.00303122936895425,0.00303059291336676,0.0029412060539727,0.0028736318631341,0.00263736235485959,0.00261215596007154,0.00270975491583742,0.00262782405892043,0.00257417792341577,0.00262234263108032,0.00264563016828459,0.00259742009953395,0.0025475499584783,0.00253671044802428,0.00246786140439967,0.00245500183782887,0.00256571314161134,0.00240975243938485,0.00232630440159235,0.00233885157701062,0.00243382554892868,0.00241129466148757,0.00239834229567889,0.0022878422782096,0.00227684638419979,0.0023313075546308,0.00227902019455753,0.00223752153657243,0.00238012163249236,0.00219529208235818,0.00236006177804365,0.00228807625756048,0.00222216599254509,0.00213485618955086,0.00207442980665841,0.00215208233909816,0.00208036715721196,0.00205266409413701,0.00202433165738399,0.0020494617465943,0.00211673385582113,0.00216853420842136,0.0022024101971674,0.00218786587817637,0.00210167526540899,0.00198749607399739,0.00184343299254184,0.00188609493874016,0.00203184413377933,0.00192974257427172,0.00190856315957861,0.00197774907093294,0.00192557613721876,0.00191561244631155,0.0019108411678713,0.00187693318225867,0.00186291863451888,0.00175974474895862,0.00175572091233932,0.0016304188720196,0.0016201897577196,0.00162602894533449,0.00169885769166108,0.00170170367975567,0.00168158889061834,0.00165499627292162,0.00163327478302816,0.00163320239450768,0.00158263930278025,0.00161333114786611,0.00156676618756839,0.00147073500568788,0.00151462333079417,0.00152203890759011,0.00152214074106094,0.00158766730792315,0.00148024752321448
