"","T_sim1","T_sim2","T_sim3","T_sim4","T_sim5","T_sim6","T_sim7","T_sim8","T_sim9","T_sim10","T_sim11","T_sim12","T_sim13","T_sim14","T_sim15","T_sim16","T_sim17","T_sim18","T_sim19","T_sim20","T_sim21","T_sim22","T_sim23","T_sim24","T_sim25","T_sim26","T_sim27","T_sim28","T_sim29","T_sim30","T_sim31","T_sim32","T_sim33","T_sim34","T_sim35","T_sim36","T_sim37","T_sim38","T_sim39","T_sim40","T_sim41","T_sim42","T_sim43","T_sim44","T_sim45","T_sim46","T_sim47","T_sim48","T_sim49","T_sim50","T_sim51","T_sim52","T_sim53","T_sim54","T_sim55","T_sim56","T_sim57","T_sim58","T_sim59","T_sim60","T_sim61","T_sim62","T_sim63","T_sim64","T_sim65","T_sim66","T_sim67","T_sim68","T_sim69","T_sim70","T_sim71","T_sim72","T_sim73","T_sim74","T_sim75","T_sim76","T_sim77","T_sim78","T_sim79","T_sim80","T_sim81","T_sim82","T_sim83","T_sim84","T_sim85","T_sim86","T_sim87","T_sim88","T_sim89","T_sim90","T_sim91","T_sim92","T_sim93","T_sim94","T_sim95","T_sim96","T_sim97","T_sim98","T_sim99","T_sim100","T_sim101","T_sim102","T_sim103","T_sim104"
"apolar_viscek=TRUE,fixed_weight=FALSE,residual_type=Gaussian,cut_r=25",0.210555301262269,0.185027682467598,0.17960982651805,0.194187922534637,0.182071470327824,0.198270865955285,0.190775130773407,0.193716858567831,0.172307359938327,0.196470495519902,0.186427456041338,0.174174170384572,0.193931314701425,0.21506925591617,0.220740338375581,0.203480666191518,0.201668158526855,0.195130704915796,0.167918070300249,0.187864918259472,0.226083130741018,0.217762012943915,0.215637581217812,0.218359819080755,0.218381827294462,0.20555143397366,0.203413356677572,0.18142895028317,0.204687614541736,0.221817859070141,0.24213679645451,0.219605282959285,0.230986575070319,0.214060991364043,0.258082846193493,0.236150524339138,0.234782301724421,0.235592892526395,0.256317056865236,0.249444237533148,0.265988357811063,0.282233220499732,0.28824654544854,0.274143410262592,0.260275687301126,0.255554637229012,0.258027703899481,0.249410415917763,0.258918431170604,0.266348822168366,0.265885697626203,0.274414425032392,0.260469893562841,0.274653635724568,0.277066929732476,0.254079379471402,0.239800186189053,0.221544696473879,0.250807127862471,0.264452305997265,0.28554225092629,0.269401158928826,0.275872006372459,0.288319481895372,0.270144920684802,0.285201735216939,0.28888367939017,0.260051462837398,0.26011124388107,0.258247474463535,0.264954699476102,0.244583967271453,0.244153953508345,0.302870648376989,0.281464055345462,0.284820685499359,0.297395849816563,0.278764300808529,0.269965639257108,0.281030667210081,0.275922220140674,0.265009287110984,0.260728607034184,0.276960683508992,0.28953877193002,0.303523059632518,0.287925747452021,0.301544672713747,0.305167138566323,0.30792391530655,0.324630445933365,0.294088259354353,0.30817893807127,0.346543166034128,0.312151135630649,0.324516649750773,0.288807608078943,0.3178167058524,0.338128287261562,0.324472083127011,0.337432922667707,0.325419941376978,0.326824542708071,0.32381584475427
"apolar_viscek=FALSE,fixed_weight=FALSE,residual_type=Gaussian,cut_r=25",0.210555301262269,0.186450289453857,0.166103627975836,0.134953273989172,0.167937571773696,0.175384332712695,0.179730977908552,0.195489588088447,0.168013766046622,0.190021135860563,0.18189764770141,0.185662654292913,0.177840882657253,0.195016494275577,0.207461230060566,0.169657361005042,0.190934668110257,0.17974130520003,0.175170312540995,0.176421502283296,0.199117254666446,0.212803038864789,0.211841431947643,0.18023758894822,0.191480316583484,0.211881409778331,0.211009037925965,0.180382561278052,0.217134171438399,0.225729414969786,0.211332419939318,0.209209768989664,0.229277827400287,0.226833585333464,0.237877448384104,0.244493944742327,0.224883451791785,0.218262740164953,0.238488995576482,0.220096946591775,0.243429428841449,0.250074882667967,0.263342501887549,0.225377087377124,0.221555872753416,0.239848070588875,0.260376405783099,0.236849093332391,0.234239262292014,0.255985464915255,0.240674138152458,0.228945018567555,0.213581793585227,0.242126307569525,0.226536867221697,0.227585010990315,0.22246898730657,0.235579228235079,0.253235814322937,0.241687074658998,0.266473629615911,0.261380785135959,0.267552684024344,0.264966389904294,0.270828276402454,0.25515883606426,0.258759766468343,0.272894084120358,0.26039260272863,0.247972704921677,0.24642821755055,0.235739287772396,0.255061155168229,0.29793539787985,0.267505183369809,0.263553236300942,0.295009343586539,0.279009348310858,0.267572153761554,0.291584328239272,0.245923477943273,0.24710431229469,0.259921578204387,0.249454164869867,0.24070860684849,0.266574474792681,0.304170431464049,0.277229901996779,0.297662904158519,0.294807362606324,0.307177142813253,0.276163503109042,0.289718417478403,0.307425967240476,0.28949923356354,0.281725178700233,0.316209336073663,0.301262782644169,0.309977944421467,0.323281698627688,0.306704724151933,0.318588476124513,0.298060399469413,0.316766161027636
"apolar_viscek=TRUE,fixed_weight=TRUE,residual_type=Gaussian,cut_r=25",0.210555301262269,0.167699660370147,0.174846207124213,0.156901916167444,0.132045352059096,0.158930008638063,0.175640874331306,0.166634275534687,0.153379963523574,0.154747020772659,0.165171194623252,0.182182837474998,0.17545214473614,0.171717811621478,0.177346568097332,0.181496506639609,0.199139111650577,0.196303266299743,0.199132280243324,0.195952996032299,0.200778116930695,0.206078607886917,0.201802424508907,0.207614141366658,0.205506180096672,0.217089718055649,0.226663354155615,0.22996273592043,0.242870172666517,0.245320535942127,0.240707483634896,0.23943465385694,0.258932294767102,0.276018230716121,0.293025385848302,0.29325911927876,0.295937523580098,0.294370076142056,0.30511711279,0.307946560972002,0.325552148909633,0.335812374096794,0.333835386673592,0.338866180920548,0.332614476262387,0.341241028850408,0.35819306997937,0.363878078762116,0.36721497593184,0.384856956083111,0.395310237533317,0.413566624650637,0.421847851906905,0.422823222962302,0.416306647577019,0.418259843948664,0.433672509834929,0.430930560031315,0.44140752630029,0.44047755799169,0.453024591668043,0.457203753690339,0.460119669262772,0.467927432131938,0.472737341697079,0.476785460626982,0.47946362294215,0.488055962727268,0.498964108857539,0.501931667672184,0.504054703213492,0.503187429961369,0.510813418626008,0.522631555447037,0.529359791736276,0.51973726839921,0.52719867042813,0.529236957212711,0.534503135295669,0.522558493652196,0.525820430561285,0.522393274311396,0.522052828409921,0.52619536845293,0.534361195334785,0.538665234549346,0.5452394116279,0.541896901596819,0.540684442116837,0.538637532035801,0.546525504019368,0.557185692506288,0.563749118434219,0.570022175334599,0.577893849589021,0.581524770386576,0.590005847053734,0.584299891616377,0.585923537509866,0.589350995670438,0.58693163027395,0.588649469780791,0.591904818495384,0.595597988648711
"apolar_viscek=FALSE,fixed_weight=TRUE,residual_type=Gaussian,cut_r=25",0.210555301262269,0.16838702838163,0.159232542257026,0.152598534014858,0.133389327342701,0.112961699173858,0.127555957999914,0.114415962700687,0.124653167647643,0.129842806030386,0.12170516312239,0.0995883737252181,0.122262346086541,0.13397890231222,0.14096280766658,0.121442097424295,0.122400749574036,0.116867313623652,0.126793863485093,0.124574585937139,0.106115839228315,0.117964179619225,0.121550855118648,0.115319929432709,0.115498746520257,0.119254330451778,0.131103920077875,0.132948828873293,0.162061188510246,0.154354141734037,0.146035690991187,0.136831769850955,0.126210118102397,0.122282585115629,0.139204649393575,0.131448135635059,0.144820427843703,0.171929130519216,0.154792329829384,0.154595040630793,0.166421552369951,0.16373385798756,0.171073893511338,0.180609275453475,0.17820865412473,0.195284817150062,0.186219643838297,0.182221048084957,0.181053060175482,0.170305926806225,0.20089893593927,0.194402841546458,0.164965719537298,0.170657303854016,0.180758646833068,0.172093938188923,0.168026836466137,0.176729153941523,0.165340942964371,0.167488533027579,0.169538209702022,0.169413592825899,0.157275597158082,0.127702198768336,0.175206503179011,0.144272692372899,0.147866530422937,0.140126670696005,0.128045661032306,0.141815610821769,0.137968604048466,0.151003741814721,0.150066686944869,0.16264113043208,0.167964972421107,0.183020472365952,0.16469415909332,0.194979197271931,0.180504253040588,0.192635556204833,0.188522896820266,0.184198898227381,0.199909536335275,0.168948987470529,0.180913415263693,0.185086756120998,0.181888065568112,0.164317104730301,0.164489231853441,0.188906450146089,0.203458217577906,0.183773392296115,0.195617640359489,0.199101071666276,0.205761278137198,0.192951718935922,0.190441438282707,0.197823270463231,0.20624163462305,0.207275037944673,0.217407018220198,0.204938345926725,0.192363101709194,0.228450151609629
"apolar_viscek=TRUE,fixed_weight=FALSE,residual_type=Laplace,cut_r=25",0.210555301262269,0.212236750703292,0.216719519893288,0.228410642877154,0.213311508181172,0.211947529989052,0.199195514969292,0.209039971447736,0.229976058136025,0.255418223526451,0.23311535461777,0.229889506110213,0.222538730265216,0.230276610644179,0.236257136646905,0.217360927166157,0.244860775915526,0.273856690004871,0.259070883672123,0.234604532838641,0.250524575366492,0.282648548011903,0.260215209774766,0.26786948576287,0.243712686418682,0.261466955539704,0.275148204521931,0.266060562351196,0.288178347847828,0.27650714667406,0.278190133530642,0.277357238782987,0.29511904527342,0.295628167723929,0.302528762764251,0.305791136444435,0.261654341328286,0.273395814215874,0.288202369298884,0.290527087771747,0.309244492700178,0.324913220723331,0.314154306238569,0.311024679112014,0.30673820950577,0.304330162902834,0.314338105177412,0.31019677747565,0.322118111564901,0.305140731169349,0.306731773239265,0.305440751905797,0.331586020191617,0.319804640934594,0.287949730197614,0.289176235286905,0.303030776937898,0.317265693796362,0.320921586336136,0.327914048121547,0.339411404378842,0.326783048165459,0.320494463538281,0.337028262977954,0.338380136913531,0.34796529315513,0.338171452251896,0.326936723657502,0.323226321198186,0.321777211796693,0.308014075965008,0.294126000718084,0.293751935487307,0.294597692895154,0.336022198517735,0.340460231325701,0.33420909648737,0.327413796410581,0.320739906945627,0.29838315260804,0.31098414396957,0.297681688176247,0.339718458759931,0.331346662266189,0.341304251676455,0.321099587720611,0.340215811940198,0.352299662649946,0.368947235709714,0.313755037023414,0.322409432608594,0.336458608379563,0.331538367460561,0.328482249091972,0.316927268118914,0.342375743716739,0.350371725638806,0.353829091664903,0.38858561814674,0.380248028831417,0.372752863522827,0.364830596687575,0.348896770571706,0.371780134762738
"apolar_viscek=FALSE,fixed_weight=FALSE,residual_type=Laplace,cut_r=25",0.210555301262269,0.194443764745695,0.203967483365193,0.18930667998169,0.190754669217515,0.181361073470366,0.203195387453237,0.216398654967205,0.199767526370174,0.229454137122259,0.206222272060062,0.20948303945383,0.222605372409716,0.2138201984237,0.220924648864773,0.220386631325633,0.202618249391613,0.235993782714917,0.203204429713852,0.196079692922441,0.22162466599107,0.253524319306809,0.242758883813107,0.233757681842615,0.212591746551847,0.240625801092456,0.261111465747386,0.232197250371634,0.224927184794671,0.227291856284902,0.238129635278039,0.258216812902878,0.249712643428206,0.237640660419654,0.281735328878394,0.261700442538849,0.232492158460441,0.261693753990908,0.281169234697144,0.254844628667201,0.27784367514275,0.282218826184919,0.286213312534195,0.2783211716443,0.27906874987039,0.27806165157262,0.287197862522846,0.255710859637319,0.288692372821268,0.266700300408418,0.280132243909313,0.29565038431001,0.282812058468635,0.291102957838732,0.301611789555451,0.291610272368006,0.283129012484133,0.276159717432884,0.256134227394514,0.27500061998461,0.286481219548432,0.318887308262867,0.290767670471412,0.304028855853312,0.299770040874006,0.322850002965329,0.306905671126705,0.308851804814286,0.277089430152228,0.273837749054289,0.289673251546684,0.255727863708733,0.292279980373584,0.294226985896062,0.294479934540233,0.296685190695375,0.296118571763794,0.300548276025517,0.253516247632693,0.272840653544658,0.308066577204598,0.291927205494484,0.274918598530653,0.303614894022513,0.319371666683316,0.323004422555358,0.319539451172634,0.336026166146357,0.332217913809581,0.270470283421403,0.285157654447948,0.301973302793678,0.290493370599843,0.295924413745102,0.301929478138553,0.306308580663218,0.315860986310384,0.307883612521499,0.327112578320528,0.351251874447575,0.344210945480147,0.351202538337278,0.330057409535616,0.345627728392915
"apolar_viscek=TRUE,fixed_weight=TRUE,residual_type=Laplace,cut_r=25",0.210555301262269,0.171306562778351,0.164650662681316,0.174961768955792,0.185985291099847,0.186955911997266,0.19428317166052,0.186416605617534,0.193720841064726,0.193931441017259,0.19810506153662,0.212153876333653,0.213980379120071,0.21546584791489,0.228264606821034,0.236399961040525,0.233033132118564,0.257494374704787,0.253332371700066,0.263224642014314,0.26474093291083,0.272138118997191,0.282003504193192,0.276583103935153,0.283581424242356,0.284638490789915,0.310599635427629,0.326849247317283,0.339918827970469,0.343412479832302,0.344977488851817,0.356039713701186,0.351617117334588,0.370023578925581,0.374062796319628,0.381213920779465,0.384239138644431,0.393258513262479,0.403419010087215,0.412150451976576,0.408790305101859,0.41074142035467,0.417495272741395,0.416862864201119,0.422768996559391,0.42720070953827,0.433373190782832,0.448262427210517,0.450987176258174,0.463380835940063,0.458838622900271,0.476056143346497,0.479181563887679,0.48173638821616,0.485561069985523,0.481536726076706,0.482834743573849,0.493087474785538,0.50094824139679,0.513730065974469,0.517935892996698,0.516918715507387,0.508114682492655,0.503755778572595,0.504481019183371,0.508023233037478,0.512027496882784,0.511195620829451,0.514631693736731,0.524153817626202,0.52727607097642,0.524882973290942,0.529623505363528,0.539020215626759,0.544903020404005,0.553351418238693,0.56167527897366,0.564060441139639,0.566821570329409,0.57874636914842,0.586801822722511,0.590903788571028,0.599468776713957,0.603758147405453,0.615257677435337,0.614569610052461,0.617573292434291,0.624486817082065,0.623856676093601,0.630845326501482,0.632355714349664,0.638373225992146,0.643664151998999,0.649420565973909,0.65628505884109,0.661018355213731,0.665536045098027,0.678285999365455,0.689523037418954,0.694696097077724,0.69337153389278,0.704848942716211,0.714953994376998,0.714390174434509
"apolar_viscek=FALSE,fixed_weight=TRUE,residual_type=Laplace,cut_r=25",0.210555301262269,0.17228489145718,0.168006227106536,0.165853733813632,0.143679239321846,0.134657889447064,0.13158995958523,0.147474598513918,0.141374672329734,0.168574370752777,0.142630240763047,0.118674377990574,0.116220485815825,0.128130812053462,0.141167120031766,0.137795423864811,0.154042520022243,0.157737583991132,0.149420901452799,0.150191840565007,0.166935791146638,0.16673210643133,0.170618395275752,0.174804586140885,0.177172860454271,0.155562176883468,0.14633196249613,0.147597177237352,0.140031253093741,0.152751210569625,0.157708169674664,0.18042359912426,0.178356720270171,0.187728016796919,0.185532495474231,0.195288522805496,0.173345833291925,0.177115980360852,0.170728266549686,0.171245998219616,0.188936593399305,0.149862704259351,0.171777530922985,0.169613245207564,0.165636841517606,0.184533968660203,0.19266292772707,0.205083200510801,0.177940929603668,0.187401651627974,0.192950899346179,0.209797889483145,0.204767930291177,0.20986881377006,0.216586514150016,0.216359451681854,0.21892531297129,0.220804493701811,0.236751786971988,0.256389664818005,0.228326231348821,0.234186904542884,0.250549171937962,0.240147061301461,0.244020770806041,0.242323687663479,0.25723823539657,0.23260389120919,0.245098731896316,0.249205941697318,0.267034017946192,0.264986019249359,0.250804856580342,0.249828415322952,0.250726007390281,0.255186783313416,0.246259635693157,0.264717281331702,0.257411936220542,0.234661511796441,0.2503514829798,0.247241535344825,0.244755899272847,0.237503624060567,0.234290204659001,0.236060921555605,0.237086117258155,0.244664602074618,0.246152488040707,0.255813931681352,0.257190327862824,0.238337245184848,0.260289013956123,0.253614018207947,0.264605592091097,0.236575535498828,0.26409682202261,0.259744521107683,0.275864562245875,0.265785548942436,0.275573732551226,0.275465490445797,0.273716424720884,0.272151466609656
"apolar_viscek=TRUE,fixed_weight=FALSE,residual_type=GGD,cut_r=25",0.210555301262269,0.203080461006821,0.175881669118121,0.226526164919261,0.210681980561598,0.216055307917919,0.197730927449071,0.238299851985318,0.176802412935796,0.256634917497408,0.211330106454508,0.21171756342223,0.208352785418493,0.251573401047881,0.227830185026652,0.227256423105117,0.247441092801343,0.256638040567844,0.223598507869087,0.233966684535548,0.232742554081343,0.289037191244785,0.250798269690703,0.243317436189741,0.22643069143657,0.250529231230332,0.259162390984481,0.240802405354304,0.245566112202368,0.273835284549666,0.248113953407521,0.2765931109339,0.27275740772587,0.267749952965919,0.289854976234131,0.294969115651242,0.282089846894105,0.310953816604105,0.291696720250246,0.267301986238633,0.291800875037647,0.313066305288763,0.329058452997594,0.309608144749356,0.29636756374856,0.298004852079497,0.30511473407247,0.31307623944988,0.321990846322368,0.334246255180257,0.312027284468934,0.303719635939373,0.341838139719844,0.306918268559357,0.300324856245121,0.307190092244349,0.289657410038616,0.269019699543212,0.293150491205301,0.295369687370345,0.334158496257454,0.321439802159985,0.326858100561752,0.327907420663696,0.340108909698009,0.346218981455068,0.326397881427286,0.308313470581402,0.300976115681296,0.291441545206486,0.309354988808055,0.294778233701501,0.324815597136167,0.311470398047073,0.317364435443836,0.314203964696913,0.351044233115338,0.328518794479787,0.317927488720008,0.340879833014414,0.325835542146007,0.342276019272718,0.311432177992911,0.30902073016437,0.336999380770678,0.340223717155371,0.356199502074832,0.342866667421635,0.345980193457795,0.320266822856668,0.359033262987775,0.345869269345577,0.365579376678466,0.356785077776314,0.357190406078623,0.354249681934109,0.336736625456827,0.332604560514669,0.328276969504775,0.346130230936222,0.369131442124696,0.355993411664888,0.385157508886715,0.360444881974553
"apolar_viscek=FALSE,fixed_weight=FALSE,residual_type=GGD,cut_r=25",0.210555301262269,0.204399367083827,0.198426584864785,0.20897905883178,0.248912611813363,0.241205610795238,0.207630687526111,0.188867045193248,0.21377317076471,0.22494403740604,0.188259293941882,0.205347652390765,0.202570791327119,0.20904713683264,0.21207259178857,0.202440078985391,0.21039655248199,0.236335158828082,0.222675207115099,0.210353457697932,0.253306092967685,0.287612268311645,0.263547187612571,0.251853090459776,0.230793222399146,0.229207879602419,0.268279293173178,0.224292718624819,0.23002116287253,0.23859050355357,0.226781404523002,0.251943136274214,0.276900087950163,0.259865586406238,0.275758303118812,0.287511927775142,0.246693764530411,0.261583578126869,0.267606958674436,0.272808236270608,0.288992700775329,0.279605353657475,0.294185470509407,0.265370509264594,0.277077142820502,0.295863688875056,0.293007635773745,0.294654875313732,0.284264196534569,0.292137356372633,0.302295290428172,0.298176559701436,0.299974085102072,0.288723559481551,0.284743653794688,0.261545483242757,0.304453192375866,0.250829145929424,0.27002857300242,0.27695557230885,0.298663088946136,0.283764763154273,0.272480175175522,0.321432821119938,0.344126272250848,0.323647874809148,0.306671056877567,0.288013439504391,0.286644387979599,0.262247934977747,0.243543301046158,0.261530842086537,0.279779162359658,0.31016077943279,0.316408205213393,0.270697727321929,0.305437422374099,0.309984446836916,0.242027611807416,0.274006866605486,0.29000092326609,0.294260295832204,0.290215877786026,0.290343215556529,0.304531099185609,0.304306155503763,0.324845226378471,0.35467669116036,0.320385608764698,0.327901763755932,0.321697723821805,0.337246986630739,0.325641480843348,0.325117205399334,0.31349381680912,0.322370037599692,0.310217003186796,0.322518878376338,0.341517470675717,0.353186071598676,0.34577623452,0.340826170928939,0.319938530080657,0.33202482561739
