"apolar_viscek","fixed_weight","residual_type","cut_r"
TRUE,FALSE,"Gaussian",25
FALSE,FALSE,"Gaussian",25
TRUE,TRUE,"Gaussian",25
FALSE,TRUE,"Gaussian",25
TRUE,FALSE,"Laplace",25
FALSE,FALSE,"Laplace",25
TRUE,TRUE,"Laplace",25
FALSE,TRUE,"Laplace",25
TRUE,FALSE,"GGD",25
FALSE,FALSE,"GGD",25
TRUE,TRUE,"GGD",25
FALSE,TRUE,"GGD",25
TRUE,FALSE,"Gaussian",50
FALSE,FALSE,"Gaussian",50
TRUE,TRUE,"Gaussian",50
FALSE,TRUE,"Gaussian",50
TRUE,FALSE,"Laplace",50
FALSE,FALSE,"Laplace",50
TRUE,TRUE,"Laplace",50
FALSE,TRUE,"Laplace",50
TRUE,FALSE,"GGD",50
FALSE,FALSE,"GGD",50
TRUE,TRUE,"GGD",50
FALSE,TRUE,"GGD",50
TRUE,FALSE,"Gaussian",75
FALSE,FALSE,"Gaussian",75
TRUE,TRUE,"Gaussian",75
FALSE,TRUE,"Gaussian",75
TRUE,FALSE,"Laplace",75
FALSE,FALSE,"Laplace",75
TRUE,TRUE,"Laplace",75
FALSE,TRUE,"Laplace",75
TRUE,FALSE,"GGD",75
FALSE,FALSE,"GGD",75
TRUE,TRUE,"GGD",75
FALSE,TRUE,"GGD",75
